player_id,player name,Premier League appearances,Premier League total clean sheets
2651,Petr Cech,443,207
252,David James,572,172
1218,Mark Schwarzer,514,153
4330,David de Gea,415,148
1,David Seaman,344,145
146,Nigel Martyn,372,141
2070,Edwin van der Sar,313,136
2911,Pepe Reina,297,136
2516,Tim Howard,399,133
1420,Brad Friedel,450,132
307,Peter Schmeichel,310,129
4664,Hugo Lloris,361,128
3143,Joe Hart,340,127
12707,Ederson,276,127
851,Shay Given,451,116
1751,Thomas Sörensen,364,112
1342,Jussi Jääskeläinen,436,110
20559,Alisson,254,106
4640,Jordan Pickford,356,98
3309,Lukasz Fabianski,376,97
2932,Ben Foster,390,94
1404,Paul Robinson,375,88
519,Tim Flowers,286,88
2508,Kasper Schmeichel,284,83
10079,Nick Pope,243,82
4179,Simon Mignolet,245,81
32,Mark Bosnich,208,81
