player_id,player name,Premier League appearances,Premier League total goals
89,Alan Shearer,441,260
3960,Harry Kane,316,213
2064,Wayne Rooney,491,208
5178,Mohamed Salah,321,192
725,Andy Cole,408,187
4328,Sergio Agüero,275,184
800,Frank Lampard,609,177
1659,Thierry Henry,258,175
1526,Jermain Defoe,491,163
277,Robbie Fowler,376,163
1208,Michael Owen,322,150
462,Les Ferdinand,349,149
576,Teddy Sheringham,417,146
8979,Jamie Vardy,342,145
2616,Robin van Persie,280,144
4999,Heung-min Son,333,127
1413,Jimmy Floyd Hasselbaink,288,127
1692,Robbie Keane,342,126
1135,Nicolas Anelka,364,125
4316,Raheem Sterling,393,123
59,Dwight Yorke,363,123
1575,Steven Gerrard,492,121
4290,Romelu Lukaku,276,121
29,Ian Wright,213,113
338,Dion Dublin,312,111
6519,Sadio Mané,263,111
908,Emile Heskey,515,110
335,Ryan Giggs,632,108
336,Paul Scholes,499,107
65970,Erling Haaland,127,107
1629,Peter Crouch,447,106
2098,Darren Bent,270,106
2662,Didier Drogba,254,104
2522,Cristiano Ronaldo,236,103
533,Matt Le Tissier,266,101
2845,Emmanuel Adebayor,242,97
2553,Yakubu,250,95
2117,Ruud van Nistelrooy,150,95
3247,Dimitar Berbatov,228,94
8454,Callum Wilson,247,93
1768,Kevin Phillips,259,92
1909,Mark Viduka,240,92
3756,Chris Wood,269,91
1217,Ole Gunnar Solskjaer,232,91
1005,James Beattie,308,90
4481,Olivier Giroud,255,90
3452,Danny Welbeck,387,89
13565,Marcus Rashford,297,89
1249,Kevin Davies,442,87
991,Dennis Bergkamp,315,87
4492,Christian Benteke,280,86
4503,Eden Hazard,245,85
3420,Fernando Torres,212,85
1598,Louis Saha,277,84
8658,Ollie Watkins,215,84
3281,Carlos Tevez,202,84
25,Kevin Campbell,325,83
390,Chris Sutton,255,83
8983,Riyad Mahrez,284,82
13511,Roberto Firmino,256,82
