player_id,Season,Player,Club,Clean sheets
2651,2004–05,Petr Čech,Chelsea,
2911,2005–06,Pepe Reina,Liverpool,20.0
2911,2006–07,Pepe Reina,Liverpool,19.0
2911,2007–08,Pepe Reina,Liverpool,18.0
2070,2008–09,Edwin van der Sar,Manchester United,21.0
2651,2009–10,Petr Čech,Chelsea,17.0
3143,2010–11,Joe Hart,Manchester City,18.0
3143,2011–12,Joe Hart,Manchester City,17.0
3143,2012–13,Joe Hart,Manchester City,18.0
2651,2013–14,Petr Čech,Chelsea,16.0
3543,2013–14,Wojciech Szczęsny,Arsenal,16.0
3143,2014–15,Joe Hart,Manchester City,14.0
2651,2015–16,Petr Čech,Arsenal,16.0
4911,2016–17,Thibaut Courtois,Chelsea,16.0
4330,2017–18,David de Gea,Manchester United,18.0
20559,2018–19,Alisson,Liverpool,21.0
12707,2019–20,Ederson,Manchester City,16.0
12707,2020–21,Ederson,Manchester City,19.0
20559,2021–22,Alisson,Liverpool,20.0
12707,2021–22,Ederson,Manchester City,20.0
4330,2022–23,David de Gea,Manchester United,17.0
7975,2023–24,David Raya,Arsenal,16.0
7975,2024–25,David Raya,Arsenal,13.0
16723,2024–25,Matz Sels,Nottingham Forest,13.0
