player_id,position,player,award
307,Goalkeeper,Peter Schmeichel,Premier League 10 Seasons Awards
321,Defenders,Gary Neville,Premier League 10 Seasons Awards
3,Defenders,Tony Adams,Premier League 10 Seasons Awards
1533,Defenders,Marcel Desailly,Premier League 10 Seasons Awards
315,Defenders,Denis Irwin,Premier League 10 Seasons Awards
331,Midfielders,David Beckham,Premier League 10 Seasons Awards
1132,Midfielders,Patrick Vieira,Premier League 10 Seasons Awards
336,Midfielders,Paul Scholes,Premier League 10 Seasons Awards
335,Midfielders,Ryan Giggs,Premier League 10 Seasons Awards
89,Strikers,Alan Shearer,Premier League 10 Seasons Awards
342,Strikers,Eric Cantona,Premier League 10 Seasons Awards
307,Goalkeeper,Peter Schmeichel,Premier League 20 Seasons Awards
321,Defenders,Gary Neville,Premier League 20 Seasons Awards
3,Defenders,Tony Adams,Premier League 20 Seasons Awards
2935,Defenders,Nemanja Vidić,Premier League 20 Seasons Awards
1494,Defenders,Ashley Cole,Premier League 20 Seasons Awards
2522,Midfielders,Cristiano Ronaldo,Premier League 20 Seasons Awards
1575,Midfielders,Steven Gerrard,Premier League 20 Seasons Awards
336,Midfielders,Paul Scholes,Premier League 20 Seasons Awards
335,Midfielders,Ryan Giggs,Premier League 20 Seasons Awards
1659,Strikers,Thierry Henry,Premier League 20 Seasons Awards
89,Strikers,Alan Shearer,Premier League 20 Seasons Awards
307,Goalkeeper,Peter Schmeichel,Premier League 20 Seasons Awards
321,Defenders,Gary Neville,Premier League 20 Seasons Awards
3,Defenders,Tony Adams,Premier League 20 Seasons Awards
1111,Defenders,Rio Ferdinand,Premier League 20 Seasons Awards
1494,Defenders,Ashley Cole,Premier League 20 Seasons Awards
2522,Midfielders,Cristiano Ronaldo,Premier League 20 Seasons Awards
407,Midfielders,Roy Keane,Premier League 20 Seasons Awards
336,Midfielders,Paul Scholes,Premier League 20 Seasons Awards
335,Midfielders,Ryan Giggs,Premier League 20 Seasons Awards
1659,Strikers,Thierry Henry,Premier League 20 Seasons Awards
89,Strikers,Alan Shearer,Premier League 20 Seasons Awards
