player_id,player_name,is_retired,current_team
1,David Seaman,yes,
3,Tony Adams,yes,
11,Nigel Winterburn,yes,
13,Lee Dixon,yes,
14,Martin Keown,yes,
19,Ray Parlour,yes,
23,Paul Merson,yes,
25,Kevin Campbell,yes,
29,Ian Wright,yes,
32,Mark Bosnich,yes,
35,Ugo Ehiogu,yes,
41,Steve Staunton,yes,
59,Dwight Yorke,yes,
70,Graeme Le Saux,yes,
72,Alan Wright,yes,
74,Henning Berg,yes,
75,Colin Hendry,yes,
78,Tim Sherwood,yes,
79,Stuart Ripley,yes,
80,Jason Wilcox,yes,
89,Alan Shearer,yes,
96,Ian Pearce,yes,
103,Frank Sinclair,yes,
107,Dennis Wise,yes,
111,Graham Stuart,yes,
122,Steve Ogrizovic,yes,
125,Peter Atherton,yes,
128,Phil Babb,yes,
146,Nigel Martyn,yes,
153,Gareth Southgate,yes,
154,Richard Shaw,yes,
172,Neville Southall,yes,
174,Dave Watson,yes,
181,David Unsworth,yes,
228,David Wetherall,yes,
238,Gary McAllister,yes,
239,Gary Speed,yes,
243,David Batty,yes,
245,Noel Whelan,yes,
252,David James,yes,
259,Dominic Matteo,yes,
262,Jamie Redknapp,yes,
271,Steve McManaman,yes,
277,Robbie Fowler,yes,
293,Steve Lomas,yes,
300,Garry Flitcroft,yes,
304,Niall Quinn,yes,
307,Peter Schmeichel,yes,
315,Denis Irwin,yes,
319,Steve Bruce,yes,
320,Gary Pallister,yes,
321,Gary Neville,yes,
326,Paul Ince,yes,
328,Lee Sharpe,yes,
329,Keith Gillespie,yes,
331,David Beckham,yes,
332,Nicky Butt,yes,
335,Ryan Giggs,yes,
336,Paul Scholes,yes,
337,Brian McClair,yes,
338,Dion Dublin,yes,
339,Mark Hughes,yes,
342,Eric Cantona,yes,
363,Robbie Mustoe,yes,
390,Chris Sutton,yes,
406,Steve Stone,yes,
407,Roy Keane,yes,
448,Darren Peacock,yes,
453,Andy Impey,yes,
462,Les Ferdinand,yes,
488,Brian Deane,yes,
495,Kevin Pressman,yes,
497,Carlton Palmer,yes,
519,Tim Flowers,yes,
522,Kenneth Monkou,yes,
523,Francis Benali,yes,
524,Jeff Kenna,yes,
528,Jason Dodd,yes,
533,Matthew Le Tissier,yes,
544,Ian Walker,yes,
557,Sol Campbell,yes,
566,Darren Anderton,yes,
569,Nick Barmby,yes,
576,Teddy Sheringham,yes,
583,Neil Sullivan,yes,
587,Chris Perry,yes,
590,Warren Barton,yes,
598,Robbie Earle,yes,
670,Muzzy Izzet,yes,
694,Gary Kelly,yes,
706,Robbie Savage,yes,
720,Steve Watson,yes,
721,Robert Lee,yes,
725,Andrew Cole,yes,
741,Trevor Sinclair,yes,
750,Des Walker,yes,
755,Simon Charlton,yes,
776,Stephen Carr,yes,
785,Steve Potts,yes,
800,Frank Lampard,yes,
847,Ian Taylor,yes,
848,Lee Hendrie,yes,
851,Shay Given,yes,
877,Duncan Ferguson,yes,
886,Lucas Radebe,yes,
908,Emile Heskey,yes,
915,Jamie Carragher,yes,
921,Phil Neville,yes,
937,Colin Cooper,yes,
958,Matt Oakley,yes,
972,Kenny Cunningham,yes,
991,Dennis Bergkamp,yes,
1004,Damien Duff,yes,
1005,James Beattie,yes,
1033,Paul Telfer,yes,
1042,Gavin McCann,yes,
1045,Ian Harte,yes,
1049,Harry Kewell,yes,
1072,Juninho Paulista,yes,
1111,Rio Ferdinand,yes,
1118,Jason Euell,yes,
1131,Matt Upson,yes,
1132,Patrick Vieira,yes,
1135,Nicolas Anelka,yes,
1151,Gianfranco Zola,yes,
1168,Chris Powell,yes,
1175,Lee Carsley,yes,
1184,Richard Dunne,yes,
1190,Lee Bowyer,yes,
1196,Matt Elliott,yes,
1208,Michael Owen,yes,
1210,Ronny Johnsen,yes,
1211,Wes Brown,yes,
1217,Ole Gunnar Solskjaer,yes,
1218,Mark Schwarzer,yes,
1230,Aaron Hughes,yes,
1246,Claus Lundekvam,yes,
1249,Kevin Davies,yes,
1253,Michael Gray,yes,
1306,Luís Boa Morte,yes,
1308,Gareth Barry,yes,
1309,Darius Vassell,yes,
1335,Stéphane Henchoz,yes,
1337,David Dunn,yes,
1342,Jussi Jääskeläinen,yes,
1353,John Terry,yes,
1361,George Boateng,yes,
1371,Hermann Hreidarsson,yes,
1391,Rory Delap,yes,
1404,Paul Robinson,yes,
1412,Alan Smith,yes,
1413,Jimmy Floyd Hasselbaink,yes,
1420,Brad Friedel,yes,
1423,Danny Murphy,yes,
1429,Jonathan Greening,yes,
1455,Paul Jones,yes,
1458,Wayne Bridge,yes,
1464,Luke Young,yes,
1494,Ashley Cole,yes,
1495,Jermaine Pennant,yes,
1497,Freddie Ljungberg,yes,
1502,Kanu,yes,
1505,Jlloyd Samuel,yes,
1515,Paul Konchesky,yes,
1518,Scott Parker,yes,
1526,Jermain Defoe,yes,
1533,Marcel Desailly,yes,
1558,David Weir,yes,
1565,Jonathan Woodgate,yes,
1575,Steven Gerrard,yes,
1580,Jaap Stam,yes,
1595,Dietmar Hamann,yes,
1597,Nolberto Solano,yes,
1598,Louis Saha,yes,
1627,Ledley King,yes,
1629,Peter Crouch,yes,
1632,Joe Cole,yes,
1634,Michael Carrick,yes,
1659,Thierry Henry,yes,
1664,Andy O'Brien,yes,
1677,Mario Melchiot,yes,
1692,Robbie Keane,yes,
1710,Sami Hyypiä,yes,
1717,John O'Shea,yes,
1719,Mikaël Silvestre,yes,
1740,Kieron Dyer,yes,
1751,Thomas Sørensen,yes,
1757,Kevin Kilbane,yes,
1768,Kevin Phillips,yes,
1772,Matthew Etherington,yes,
