player_id,player_name,standardized_name,all_teams,total_appearances,team1,team1_appearances,is_in_team1,team2,team2_appearances,is_in_team2,team3,team3_appearances,is_in_team3,is_retired
335,Ryan Giggs,Ryan Giggs,Manchester United,632,Manchester United,632,no,,0,no,,0,no,yes
915,Jamie Carragher,Jamie Carragher,Liverpool,508,Liverpool,508,no,,0,no,,0,no,yes
1575,Steven Gerrard,Steven Gerrard,Liverpool,504,Liverpool,504,no,,0,no,,0,no,yes
921,Phil Neville,Phil Neville,"Manchester United, Everton",504,Manchester United,262,no,Everton,242,no,,0,no,yes
336,Paul Scholes,Paul Scholes,Manchester United,499,Manchester United,499,no,,0,no,,0,no,yes
1353,John Terry,John Terry,Chelsea,492,Chelsea,492,no,,0,no,,0,no,yes
1717,John O'Shea,John O'Shea,"Manchester United, Sunderland",446,Manchester United,257,no,Sunderland,189,no,,0,no,yes
800,Frank Lampard,Frank Lampard,Chelsea,429,Chelsea,429,no,,0,no,,0,no,yes
4330,David de Gea,David de Gea,Manchester United,415,Manchester United,415,no,,0,no,,0,no,no
3014,Mark Noble,Mark Noble,West Ham United,414,West Ham United,414,no,,0,no,,0,no,yes
1230,Aaron Hughes,Aaron Hughes,"Newcastle United, Fulham",401,Newcastle United,205,no,Fulham,196,no,,0,no,yes
321,Gary Neville,Gary Neville,Manchester United,399,Manchester United,399,no,,0,no,,0,no,yes
3955,Kyle Walker,Kyle Walker,"Manchester City, Tottenham Hotspur",395,Manchester City,212,no,Tottenham Hotspur,183,no,,0,no,no
2064,Wayne Rooney,Wayne Rooney,Manchester United,393,Manchester United,393,no,,0,no,,0,no,yes
1342,Jussi Jääskeläinen,Jussi Jääskeläinen,Bolton Wanderers,379,Bolton Wanderers,379,no,,0,no,,0,no,yes
3600,Séamus Coleman,Séamus Coleman,Everton,372,Everton,372,no,,0,no,,0,no,no
1308,Gareth Barry,Gareth Barry,Aston Villa,365,Aston Villa,365,no,,0,no,,0,no,yes
4664,Hugo Lloris,Hugo Lloris,Tottenham Hotspur,361,Tottenham Hotspur,361,no,,0,no,,0,no,no
3712,Jordan Henderson,Jordan Henderson,Liverpool,360,Liverpool,360,no,,0,no,,0,no,no
2516,Tim Howard,Tim Howard,Everton,354,Everton,354,no,,0,no,,0,no,yes
